account,date,trades_count,gross_pnl,avg_pnl,sentiment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,154,5590.528248,36.30213148051948,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,147,5806.86932,39.50251238095238,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,155,1522.284412,9.82118975483871,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,154,13281.73126,86.24500818181818,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,137,5389.96219,39.3427897080292,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,230,13190.248859,57.348908082608695,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,181,4454.939378,24.612924740331493,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,191,3624.489655,18.97638562827225,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,204,1525.329937,7.477107534313725,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,194,7812.716373,40.2717338814433,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,107,7465.899936,69.77476575700935,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,79,1174.025529,14.86108264556962,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,95,122.889996,1.2935789052631579,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,48,1555.956456,32.4157595,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,66,1530.919365,23.195747954545453,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,84,101.860928,1.2126300952380953,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,73,388.366016,5.320082410958904,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,63,506.512551,8.039881761904761,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,34,115.51218300000001,3.3974171470588237,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,125,255.808312,2.046466496,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,107,496.221792,4.637586841121495,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,59,109.82694000000001,1.861473559322034,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,51,3.536668000000001,0.06934643137254903,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,37,557.9358,15.079345945945946,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,41,768.351892,18.740290048780487,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,2,16.923621,8.4618105,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,61,53.846609,0.8827312950819672,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,42,894.564828,21.29916257142857,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,19,55.137803,2.9019896315789473,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,87,238.995461,2.747074264367816,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,70,168.92152,2.413164571428571,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,259,594.135892,2.293960972972973,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,184,102.504343,0.5570888206521739,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,169,608.885905,3.6028751775147927,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,94,428.3738,4.557168085106383,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,112,589.467131,5.263099383928571,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,122,229.609892,1.8820482950819672,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,120,347.22838,2.8935698333333333,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,118,124.70498799999999,1.0568219322033896,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,106,273.211119,2.577463386792453,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,268,838.930696,3.1303384179104476,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,151,1019.55769,6.752037682119205,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,42,152.618804,3.6337810476190477,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,86,1234.2072,14.351246511627908,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,49,755.916254,15.426862326530612,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,101,416.546688,4.124224633663366,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,91,-1416.906536,-15.570401494505495,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,73,8330.21747,114.11256808219177,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,70,669.381363,9.5625909,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-13,42,287.27875,6.839970238095238,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-14,47,404.813032,8.613043234042554,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-15,9,64.653448,7.183716444444444,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-16,11,59.664989,5.424089909090909,50.0
